feedback_id,feedback_text
1,"The automation significantly reduced my processing time"
2,"Too many false alerts, needs better filtering"
3,"System is helpful but explanations could be clearer"
4,"Manual review workload has reduced noticeably"
5,"Occasional errors still require manual intervention"
6,"Overall experience is positive and saves time"
7,"Alert volume is high during peak hours"
8,"The tool makes investigations faster"
9,"Needs better documentation for edge cases"
10,"Automation has improved SLA performance"
